Reviews,Ratings
"Gift card purchase said it should arrive within 5 minutes, but could take longer. Took a couple hours to get it. I read some reviews that some people got a gift card with a $0.00 balance so I went to AMC's website to check mine. When I entered my card number it said I had a $0.00 balance so I had to contact customer service. I was told I would receive a refund and to purchase another card. I just placed my order for another gift card and I hope that arrives with the $50.00 balance that it's supposed to have. Be careful and check the balance immediately after receiving the card so you don't wait in a long line at the theater only to be told your gift card has a $0.00 balance.",1
I tried for 3 days to use this gift card. Wasn't able to use in store with QR code nor online. I couldn't even check my balance on the first day it was sent to me. I called customer service but because it's a gc for a 3rd party they could do nothing. BEWARE of this particular restaurant gift card!!,1
"Garbage delivery service. Avoid at all costs. Says 5min. All lies. Complications consistently with this gift card idea on amazon. Will nevet use regal again. Its been 30min already. Pathetic. Never an issue with carmike. This is why companys fail, poor service that i clearly got here.",1
The worst place to eat food. It should earn 0 star if the system allows. The food there was too sour and customers were forced to give Olive Garden more than 20% of bill as tip for the minimum requirement. They overcharge customers and treat people bad.,1
"Olive Garden overcharged their customers for worst food they made. Upon arrival at a local Olive Garden branch in October 2014, my friends and I saw only a few customers sit there so we should be assigned a seat quickly. There were several welcoming representatives just talking to each other and one told us that we had to wait at least 20 minutes to get seated.

After the dirty and sour meal, we were overcharged and were forced to pay 20% service fee as tips. If it's a good meal and service, we might pay more than 30% of dinner price as tip but we had a horrible dining experience in Olive Garden. After all, we would never visit Olive Garden again because such a bad restaurant kept ripping people off. I have seen bad reviews on this restaurant from other people on other sites too.",1
"i'ts been 20minutes and did not get my email confirmation, I am very upset we have a movie we want to see. Should of bought it on fandango!
I would like my cards or money back immediately.

Received GiftCard almost 30min later. This sort of thing is unacceptable. Would not buy again if your friends and family want to see movie, just buy giftcard straight from movie sight.",1
I WAS SO EMBARRASSED TO HAVE THE CARDS NOT WORK. BE CAREFUL. MAKE SURE YOU CHECK YOUR BALANCE FIRST BEFORE ORDERING OR YOU MAY BE SORRY. BE SURE AND BRING BACK UP CASH.,1
"Maximum PC's slogan is Maximum PC. Minimum BS. Well I think they should make that, Half PC. Half BS. If you buy your subscription on here, you're not getting the CD, which is obviously, the whole essence of the mag. The CD is done just like PC Gamer, but it just has Maximum PC on there, instead of PC Gamer, and this also means, if your PCG CD's won't auto-load, neither will the MPC ones. Since I can't see what the price is for the subscription on here, I cant tell if you're paying the same amount on here for the no CD sub, as you would with the CD. CD sub. price is $29.95. You can obviously look at the top of the page, and see what the price is. The one good thing they have is the Head 2 Head thing they have in the beginning, where they pit two products against each other. This month it was Yahoo! Mail vs. Hotmail. So this really isn't a great magazine, nor a good PC magazine (no pun). If you want a real independent magazine, go with PC Magazine. (And for more on that, read my review...if it ever gets posted).",1
"When I was a little kid in the 1950s and 1960s, PopSci was the one magazine I looked forward to every month. Each thick issue was full of articles on everything from the latest scientific breakthroughs to gadgets you could build in your basement shop. They commissioned vacation home designs from architects, told you how to build a radio, and helped you maintain your car (anyone remember Smokey's Garage?)

Today's PopSci is 90 pages of brief essays, and there's nothing here you can't find by browsing a few web pages like Engadget, Science Daily, and yes, PopSci's own website. Instructables has more projects than you'll find a a year of PS.

But that's the way the world is going. WIth so many general and special interest web sites out there providing the same information, and often breaking stories the day they come out, there's not really a place for a brief collection of technology stories that has to be assembled several months in advance.

Update: I just received the latest (9/2015) issue, via a free subscription, and it's now down to 82 low density pages. About half the pages contain editorial material, but there's precious little information.there are, however, several full-page portraits of the subjects of a few of the articles, and a double page spread of Neil DeGrasse Tyson in a rubber apron with a goofy look. The ""projects"" contain insufficient information to build, the articles are superficial, and the interviews ar at most a few hundred words. My copy went into the recycling bin after a cursory look through.",1
"I subscribe to many outdoor themed magazines and have to say that I have never seen a magazine take such a dive in quality as quickly and drastically as this.  Gone are the great tales of survival and adventure (except in one issue per year).  Instead the magazine is filled with dozens of glossy photos of males modeling overpriced clothing.  Add to this the sheer volume of advertisements and you have very little left for stories or expeditions.  Most of the travel notes are for places that cost terribly much money and would be better represented in Conde Naste or National Geographic Traveler.

For true outdoor enthusiasts I recommend Runners World (it is geared towards running but does feature some great product reviews), Trail Running, and National Geographic Adventure.  Outside magazine is obviously a marketing outlet and I am sure they make big income from the obviously biased product reviews and destination write ups.  I understand this is how the world works... but I will find other sources for my outdoor fix... such as actually going outdoors.  This is not the magazine for true outdoor enthusiasts, but for those who want to dream about buying the gear and never actually using it.

Update:

So I'm not on an auto renewal plan or anything, but I have been getting this magazine for about 3 years now... and it's followed me to my new apartment without me submitting a new address! (Seriously, they are printing my new address - not the post office stickers!).  I think that maybe because I don't really want the magazine, some karmic force out there is punishing me with free issues!  At least my apartment workout room is getting some literature, because it goes from my mailbox, right into the magazine holder there.",1
"In the midst of the feel-good stories, decorating bits and lifestyle tips, are the ads. And the Buy Buy articles. And the Buy Buy articles disguised as decorating bits and lifestyle tips.
Buy this new paint color, this nail polish that Michele wears, this facial scrub that takes years off, this trendy chevron rug in nauseating colors, this ""slimming"" dress with the peplum (!!), and this green cleaner that sounds great but really doesn't clean well. These cards will make your guests feel special ($25 for 5) and we found this costume ring for $150. What a deal!!  And there is a new feature, how families are managing to live well on a miserly $100,000 per year!!! WOW. We do it on 15 since I got laid off 4 years ago. This all makes me want to throw up a little bit.
I will say that getting on the email list is good if you like chatty 10 Best Lists. About 2x weekly you'll get 10 Things to Never Eat, 12 Best Skin Helps, 10 Ways To Style Floating Shelves, etc. It's at least fun and they are not trying so hard to get you to buy something.
I'm saving my issues to trade at the bookstore for quilt magazines.",1
"Maxim rode the men's magazine gold rush in the late 1990s, leading Stuff, FHM and a host of other PG-13 fare that filled the convenience store racks as Playboy, Penthouse and the hard cores were either dropped completely or were tucked behind the clerk hidden behind individual black plastic wrappers.

Maxim is the last Laddie still in print in the U.S., having witnessed the print burials for FHM (1996 to 2007) and Stuff (1998 to 2007). Maxim's putrefaction is evident to its subscribers, hence the heavily discounted subscriber rates available today. If you were unfortunate enough to receive a gift subscription to Maxim or, worse yet, bought one for yourself, you can no doubt bear witness to the decay. The magazine simply isn't interesting or compelling to read. You could find more of everything - women, entertainment, food and fashion - in a 10-minute Google search.

Ask yourself, why are you buying a men's magazine?

Want to admire beautiful women? Choose&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Playboy/dp/B000HWY1PG/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Playboy</a>&nbsp;or&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Penthouse/dp/B000G1R2G8/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Penthouse</a>.

Want to stay healthy and fit? Choose&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Men-s-Health/dp/B00005N7RD/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Men's Health</a>&nbsp;(preferred) or&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Men-s-Fitness/dp/B00023J4FW/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Men's Fitness</a>&nbsp;(for younger audiences).

Want to peruse fashion and lifestyle? Choose&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Esquire/dp/B000M06NP4/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Esquire</a>&nbsp;or&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/GQ/dp/B00005N7QI/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">GQ</a>&nbsp;(beware the cologne samples though).

Want a little of everything? Choose&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Details/dp/B00005N7PS/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Details</a>&nbsp;or&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Men-s-Journal/dp/B00005NIOC/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Men's Journal</a>.

Pick any of the above options, especially if you are buying a gift subscription. Just avoid Maxim.",1
"Update: Fox News owner Rupert Murdoch has just purchased National Geographic.  Do not trust the content from here forward.  He is planning to turn the magazine and society into a for profit organization in order to hide science and progress under the guise of a 'scientific journal'.

E-mail and cancel your subscriptions and send a message to this tyrant!  We want science and fact - not fiction and skewed articles serving right wing, mega corporate interests!!!

For a little while I was confused with the article selections.  It seemed they were picking some pieces that weren't really about geography, sociology, or history.  More like current events.  But the last year or two they have been on track with solid stories and spectacular photography.

I was more impressed with Smithsonian for awhile, but their new format is laughable (you can read my updated 3 star review at the Amazon listing:&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Smithsonian-1-year-automatic-renewal/dp/B0032KHQU2/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Smithsonian (1-year automatic renewal)</a>.  National Geographic has taken its place as top world history/sociology magazine again.

The stories may be less fleshed out than some other magazines.  These guys are definitely about the pictures.  But the pictures usually serve a purpose. They aren't just glossy and pretty.  Looking in a recent issue about global warming and population increase in Bangladesh, the pictures illustrate the point of the story: the struggles of many impoverished citizens in a country in the grip of climate change.

The stories have gotten less 'preachy' and don't tend to berate folks for not doing everything they can to help those in need.  Instead the stories tend to show both outlooks on a divided issue without painting one in a bad light.  Of course, the reader can usually infer from the nature of the story the outlook that Nat Geo favors.  It is a highly liberal magazine focused on conservation, but that is what they have been about for years, so it shouldn't surprise anyone.

I highly recommend this magazine for those folks looking for great stories on a variety of topics pertaining to nature, history, and people.",1
"Warning -- If you are looking for the Prevention Magazine that you remember reading back in the 1970's or 1980's -- THIS ISN'T IT!

Gone are the wonderful articles on health by way of the PREVENTION of disease, replaced by advertisements for DRUGS and useless ""fashion magazine"" type stories that are filled to the brim with NOTHING of any value to the astute reader. The original publisher of Prevention must have run into financial difficulties, and perhaps sold the name to another company. This magazine bears absolutely no resemblance to the informative, educational publication it once was. I noticed years ago that it started slipping in the value of information presented, but this is just a joke! I'd compare it to a print version of all those endless commercials on TV for perscription medications, showing young, hip people in positive situations, while a voice-over drones on with an endless list of side-effects including death.

If you are looking to educate yourself about the prevention of disease, by all means avoid this useless publication. It is completely without value, unless you happen to have a short leg on your coffee table.

Yes, it's that bad. Stay away!",1
"There is very little about simplifying your life in this magazine, it is mostly about rampant consumerism; I am not saying there is anything wrong with consumerism, it is great for our economy, but it should be labled as such, not wrapped up in a false guise with a silly label.
Hidden between a forest of ads, you will find the occasional spindly little article, and chances are, that article will also be selling you S.T.U.F.F. with clever product placement.
The ads, which are quite wide-ranging in whatever the target audience is supposed to be, made me dazed and confused, and my nose was not pleased either, as some of them contain ""perfume"".
As for the ""tips"", not all are helpful. They suggest for instance, that you hard boil eggs, and keep them for a week in the refrigerator (page 18, November 2003 edition). True, a week is the limit for storing hard cooked eggs, and they will not kill you, but have you ever eaten an egg that has been sitting in the fridge for seven days ? It is enough to put one off the incredible edible forever. Five days is max folks, for a decent tasting egg.
The paper quality is quite good, with a matte finish, but if you want substance, and really inventive ideas, look elsewhere.",1
"To begin with, I am not much into fashion, so take that into consideration while reading my review. I grew up in the mid-west, where for most people considering we are surrounded by corn fields and our communities are filled with farmers, comfort is more important than fashion. You are more likely to see farm and home stores than fashion stores. Anyway, this was only $5 so I took a chance on ordering it along with several other magazines (which I have a surplus of and am currently behind on reading lol) and this is one of the only ones that even though it is only $5, I had to cancel even if they didn't refund me. I just did not want this coming to my house every month. It is a thick magazine which is good and bad, but one issue was like an encyclopedia. When I started flipping through the pages, MOST of it was ads for products and designers. Just women posing in silly clothes and makeup. The articles, to me, were boring, bland, and not relevant to my life or interests. I read one article where a woman struggled with her appearance because she was Jewish and had a big nose and whatever and it made me kinda sad that she couldn't accept herself for such a long time. Everyone is beautiful in different ways and magazines like ELLE present a culture of one kind of beauty which really isn't beautiful. It's fake and kind of scary. So I just did not want this magazine in my house. I am sticking with more down to earth magazines. I enjoy a range of health magazines, home and family magazines, and girly magazines that aren't quite so fashion centered. Again, this is my opinion so please don't criticize me. I understand location has a lot to do with how you view fashion and body image but I am perfectly happy with me!

Update: I'm glad some people are finding my review helpful! I also forgot to mention that my mom (a woman in her 50's) exchanges magazines with me and this magazine has very small print which made the magazine hard for her to read. And I flipped through the last issue I received and most of the articles (at the end of the magazine since the first half of it is full of ads) were about feminism. I am not a feminist and that's as far as I'll go on that subject. You can formulate your own opinion of the articles. Just pointing it out to potential subscribers since I had no idea what to expect from this magazine. Another article in this magazine was defending photo shop and feeding false body images to women as artwork like it is no big deal! I was shocked because it contributes to eating disorders and low self esteem in many women, especially young women. A better name for this magazine would be SUPERFICIAL.",1
"Scientific American was once the premier scientific journal for the educated reader with an interest in science. Every article was written by a researcher in that field, and nothing was dumbed down. Every October, SciAm published a special issue that covered just one topic in depth, and these special issues presented the state of the art in that area in a way that was readable and understandable to the non-specialist, but at the same time could have served as a text for the student in that area. Some of those special issues were re-published as book, and when I was a grad student, the special issue on The Brain was actually used as a text for one of my seminars.

Today's SciAm is a sad, pale, echo of that once great journal. Most of the pieces are short, superficial, one or two page essays that can be quickly skimmed over. Much of the content deals with policy issues, not the underlying science. And whereas mathematics is the common language of science, the tool that (as a friend once remarked) keeps scientists honest, there's not a whisper of it in today's SciAm- a particularly sad thing given that one of the most popular features in the old SciAm was Martin Gardner's column on recreational mathematics! Gone also is the Amateur Scientist, a section in which serious amateurs would present their research programs, complete with detailed drawings of apparatus. It was here I first read about experimental rocketry, constructing computers (in the 1960s!) and building telescopes.

When I was a student in middle school, forty years ago, I found much of the math daunting, but that only spurred me on to study more and learn the tools that would unlock the knowledge found in the articles. Today, it's a magazine that  requires nothing of the reader. Facts are presented in a superficial way as absolute truths, and the magazine is designed to be skimmed over, and discarded. A sad end to a once great journal.",1
"This magazine, as I already knew, is just about sex. I really don't know why women like to read this, and especially why parents allow their children to read this magazine! It only encourages them to be sexually active and experiment with boys. I read an article online that a woman is trying to get news stands to sell this magazine in a plastic bag so that young women cannot read it's contents at the store! I do not enjoy reading this magazine. I only tried it because I knew it was so popular among women and wanted to see why. I also was not happy with the customer service. My magazine took forever to come in the mail and I just decided to cancel it because of the delay in shipping and the content is smut! I can spend my $15 on a much better magazine.

One more thing: If you have allergies, BEWARE! I had to pull out at least 5 or more perfume inserts and the magazine still smelt like perfume! You may want to consider this before it ends up in your mailbox and you have an asthma attack trying to read it!",1
"""The Cosmo Sex Poll - 6,000 Horny Guys Tell All"" is an actual title from the August Cosmo issue (I'd be more interested to learn how they determined the guy was horny before letting him take the poll ;o) )

I used to be an avid Cosmo reader in my 20's. Life got busy in my 30's, but, I have recently decided to re-subscribe. I am sad to report that the magazine has slipped considerably in general quality of information provided, as well as the manner in which it is done. I was looking forward to hot-off-the-press fashion news; I wanted to learn about the best beauty products on the market; I wanted to read stories relevant to my life with real life heroines who inspire other real life women. Well, it was not to be. What I got was a little bit of fashion and beauty with the rest being a poorly written sex manual. Oh, ""how to manipulate your man"" was also high on the magazine's agenda... Here are some titles from the August issue:

""She Had Her First One Night Stand at 34"" (she's for it and it's in the Need to Know section of the magazine...)
""Secrets His Sex Style Reveals""
""Guys Rate 125 Sex Moves""
""Get Hit On All The Time""
""Orgasm Whisperer""
""First Time Sex Bloopers""
""Cosmo's Naughty Sex Dare Game""

I could go on, but I am feeling noxious again...It's rather disturbing that teenagers and young women are reading this and may be getting the idea that this is all their life is supposed to be about: having sex, all the time, with strangers, as well as manipulating men... Sad...

If you are looking for magazines with fashion/beauty focus, I recommend: In Style, Style Watch, and Lucky.

Regarding Cosmo subscription service: I received the Sept issue promptly, FOLLOWED by the August issue (they were clearing out their warehouse, I guess...).",1
"The best thing I can say about this magazine is that I didn't have to pay for the subscription; I bought it with air miles. Good thing, too, because this magazine is NOT worth its price, either off-the-rack or via subscription.  Want to keep up with your favorite celebrities? The ""news"" in this magazine is nothing more than a collection of rumors.  Want fashion advice? The most you'll get here are photos of celebs wearing something and what it is.  Most of the fashions and cosmetics are, of course, waaayyy out of the price range of the average reader.

The stories are rumors you can get much cheaper via supermarket tabloids, or ""quotes"" from a ""source"" that's supposedly ""close"" to the celebrity, or paragraphs of what the person ""might"" do, based on trends or what their celeb pals have done in the past.  Usually these are incorrect.  A few months ago I the magazine gushed about Princess Kate's pregnancy with twins, and how Buckingham Palace ""should confirm"" it soon.  Today the cover squeals that Kate and her sister Pippa are both pregnant, Kate with a girl and Pippa with a boy.  I won't hold my breath over it.

Subscribe to US or PEOPLE if you want intelligently-written articles about celebs and others in the news.  The magazines don't source stories on gossip and rumor, and are written by reliable reporters instead of paparazzi, which I suspect is the case here.  OK! was anything but, and I'm sorry I wasted air miles on it.",1
"This magazine is such a disappointment now.  When I subscribed, it was what the title proclaimed.  Great!  They'll sift thru the site and choose recipes many folks would like; and bring to the readers' attention unusual recipes they have missed on the site.

Then they started adding ads.  No problem and no surprise.  How else could they continue?

THEN...they started adding other stuff!  In my Feb-Mar 2018 issue, the first recipe didn't appear until pg. 36 (out of 104 pgs., mind you).  And what was this stuff?  Fitness, lifestyle, tablescapes, kitchens renovations, utensils, baking with kids, and choosing healthy snacks (plus ads).  FINALLY, we got a recipe!

If I wanted all that ""stuff"", I'd subscribe to a mag that does it well (such as MARTHA STEWART LIVING).  And, in fact, I do subscribe to MSL.  AR does not do this sort of thing well, at all.

I will NOT be re-subscribing to Allrecipes.  It has turned into something unlike its charter.  A very big disappointment.  If you want recipes without extraneous barely-related material, AR is not for you.
mb

PS.  TASTE OF HOME used to be ""no-advertising,"" too, but they had to add it to survive.  They've avoided padding their content, however.  AR should take a lesson.",1
